id,postal_code,latitude,longitude
1337,BB1 5QB,53.759832,-2.453805
1401,BB1 6AY,53.7511,-2.480979
1888,ZE2 9JD,59.912507,-1.327385
2593,YO8 8JF,53.756625,-1.048503
2828,YO8 4RU,53.783864,-1.087423
3241,YO7 4SQ,54.196999,-1.433966
3557,YO7 4EJ,54.226978,-1.423955
3558,YO7 4EL,54.242653,-1.414852
3710,YO7 4QQ,54.298513,-1.342897
3757,YO7 3JH,54.170767,-1.344889
3803,YO7 3NS,54.157625,-1.343634
3836,YO7 2AS,54.199277,-1.276832
3837,YO7 2AT,54.203965,-1.272433
4010,YO7 2NY,54.249538,-1.327726
4027,YO7 1FL,54.239746,-1.333378
4056,YO7 1HL,54.231753,-1.344276
4193,YO7 1QR,54.231154,-1.344915
4254,YO62 7JQ,54.302348,-0.965993
4256,YO62 7JW,54.362209,-1.053616
4349,YO62 7TD,54.255679,-1.021346
4412,YO7 1DA,54.232946,-1.340637
4585,YO62 6NY,54.251187,-0.904163
4640,YO62 4NB,54.147109,-1.010209
4647,YO62 4NL,54.148666,-1.009422
4731,YO62 5DX,54.245096,-1.059966
4741,YO62 5EJ,54.227479,-1.088341
4773,YO62 5HZ,54.240702,-1.004043
4865,YO61 4QG,54.182611,-1.201587
4878,YO61 4RP,54.143069,-1.104049
4883,YO61 4RW,54.133453,-1.090732
4885,YO61 4SB,54.127762,-1.063465
4928,YO61 4TT,54.137936,-1.129405
5017,YO62 4JH,54.184214,-1.05891
5041,YO61 3ET,54.114016,-1.18182
5106,YO61 3LA,54.122087,-1.208697
5219,YO61 4AF,54.200235,-1.206889
5253,YO61 1SU,54.10537,-1.283267
5348,YO61 2RB,54.087967,-1.303892
5360,YO61 2RS,54.134347,-1.385516
5364,YO61 2RX,54.111826,-1.35833
5541,YO61 1JA,54.084135,-1.157084
5544,YO61 1JE,54.079639,-1.184214
5572,YO61 1LT,54.110835,-1.150679
5614,YO61 1QT,54.070297,-1.215075
5652,YO60 6RS,54.099026,-1.008521
5741,YO51 9DZ,54.114941,-1.423343
5851,YO51 9HA,54.085903,-1.352753
5858,YO51 9HJ,54.103338,-1.358056
5931,YO43 4EB,53.836586,-0.731673
6046,YO43 4LE,53.842189,-0.680443
6090,YO43 4SQ,53.822832,-0.606155
6107,YO43 4TN,53.804421,-0.592695
6198,YO51 9AU,54.090312,-1.39164
6298,YO43 3PZ,53.864547,-0.715613
6333,YO42 4NP,53.843912,-0.82182
6350,YO42 4PR,53.849141,-0.863613
6381,YO43 4AP,53.831442,-0.775795
6396,YO43 4BH,53.832879,-0.780054
6457,YO42 4SS,53.874382,-0.833611
6567,YO42 2QR,53.929818,-0.77997
6619,YO43 3FB,53.86595,-0.670252
6730,YO42 1XG,53.94215,-0.718617
6763,YO42 2AE,53.931549,-0.777784
6789,YO42 4JA,53.871162,-0.779335
6795,YO42 4JH,53.872163,-0.783861
6801,YO42 4JS,53.896557,-0.811749
6815,YO42 4LQ,53.882967,-0.762781
6918,YO42 2HS,53.935822,-0.78077
7068,YO42 1NT,53.909526,-0.775035
7072,YO42 1PB,53.945023,-0.799144
7134,YO41 1JX,54.003224,-0.951193
7200,YO42 1TL,53.966044,-0.758288
7220,YO42 1UL,53.917791,-0.755334
7283,YO41 4AZ,53.914147,-0.960095
7305,YO41 4DB,53.93488,-0.904103
7308,YO41 4DF,53.914866,-0.886875
7343,YO32 9TL,54.009984,-1.009676
7362,YO32 9UJ,53.992889,-1.001066
7495,YO41 1EA,53.974374,-0.925998
7605,YO32 9GZ,53.989573,-1.047664
8297,YO32 2RQ,54.022037,-1.134268
8970,YO30 7XZ,53.964046,-1.087974
9006,YO31 0NN,53.967524,-1.041694
9335,YO30 5PA,53.97683,-1.110057
9691,YO30 4WG,53.987203,-1.100457
9709,YO30 4XG,53.98624,-1.10027
9710,YO30 4XH,53.984404,-1.102307
9745,YO26 8JN,53.983809,-1.247703
9755,YO26 8LA,53.995394,-1.22064
9895,YO30 1AP,54.031746,-1.171579
9933,YO26 6RB,53.976962,-1.130577
10249,YO26 4YJ,53.963966,-1.107319
10433,YO25 9UG,53.933765,-0.558515
10633,YO25 9ED,53.975778,-0.492597
10684,YO25 9JZ,53.991489,-0.565979
10812,YO25 9TF,53.922686,-0.524069
10856,YO25 8NN,54.011081,-0.381015
10868,YO25 8PG,54.015018,-0.225484
10881,YO25 8QB,54.014304,-0.259017
10919,YO25 8SB,53.902654,-0.284397
10992,YO25 9AP,53.940412,-0.463031
11003,YO25 9BB,53.899838,-0.43407
11007,YO25 9BQ,53.910782,-0.38954
11169,YO25 8DX,53.932619,-0.228285
11197,YO25 8HB,54.007486,-0.374284
11218,YO25 8JJ,53.985281,-0.373536
11270,YO25 5UY,54.022478,-0.44516
11311,YO25 6DA,54.008131,-0.440048
11386,YO25 6PN,53.999595,-0.434753
11389,YO25 6PS,54.003612,-0.437284
11410,YO25 6RA,54.004131,-0.439984
11447,YO25 4QZ,54.039883,-0.337576
11485,YO25 4SX,54.055483,-0.411203
11539,YO25 3DP,54.119833,-0.360284
11541,YO25 3DS,54.1154,-0.392755
11635,YO25 3EZ,54.026683,-0.570097
11638,YO25 3HD,54.053656,-0.62554
11647,YO25 3HR,54.13287,-0.325254
11648,YO25 3HS,54.158671,-0.35216
11779,YO25 4AS,54.030094,-0.350748
11787,YO25 4DG,54.040555,-0.374919
11792,YO25 4EF,54.093439,-0.404124
11808,YO25 4JR,54.020055,-0.391306
12019,YO25 3AL,54.035067,-0.526016
12104,YO24 3LL,53.941272,-1.134479
12554,YO23 3PQ,53.918564,-1.201288
12563,YO23 3QA,53.952862,-1.181318
12886,YO23 2SE,53.919306,-1.090693
12920,YO23 2UJ,53.898328,-1.105118
13360,YO21 3SD,54.501394,-0.735412
13362,YO21 3SF,54.481375,-0.737079
13527,YO21 2PU,54.442372,-0.812328
13546,YO21 2RG,54.475886,-1.06476
13777,YO21 2AA,54.466281,-0.792117
13802,YO21 2BW,54.487597,-0.81182
14026,YO19 6DA,53.866738,-0.950951
14033,YO19 6DJ,53.860753,-0.989092
14091,YO21 1QL,54.484432,-0.619161
14165,YO19 6HQ,53.898523,-1.042877
14419,YO19 5UF,53.961112,-1.006901
14447,YO18 8JN,54.277603,-0.759506
14463,YO19 5UW,53.959802,-1.030342
14530,YO18 8LT,54.245842,-0.846874
14532,YO18 8LW,54.250219,-0.813508
14631,YO18 7LL,54.246246,-0.703048
14639,YO18 7LX,54.240024,-0.731984
14651,YO18 7NR,54.32474,-0.689709
14669,YO19 4PR,53.903893,-1.088501
14732,YO18 7QB,54.29875,-0.704026
14829,YO17 9LS,54.024246,-0.729271
14991,YO18 7AW,54.245061,-0.774786
15062,YO17 8RS,54.184264,-0.588908
15192,YO17 9DU,54.122178,-0.791889
15236,YO17 7LJ,54.135556,-0.79755
15239,YO17 7LP,54.135575,-0.799462
15318,YO17 9LB,54.078699,-0.78961
15325,YO17 8AA,54.135439,-0.77787
15353,YO17 8BN,54.091769,-0.660025
15417,YO17 8JU,54.172955,-0.718166
15478,YO17 6UJ,54.205098,-0.757047
15544,YO17 7AA,54.134364,-0.798009
15552,YO17 7AW,54.134478,-0.798499
15708,YO17 7HT,54.135705,-0.797251
15881,YO16 6XJ,54.118012,-0.216423
16097,YO16 4UD,54.112834,-0.221251
16259,YO15 3QT,54.038584,-0.240517
16376,YO16 4JB,54.0865,-0.200788
16402,YO16 4LZ,54.084715,-0.201064
16584,YO15 3JN,54.077431,-0.19979
16746,YO15 2AD,54.084996,-0.194173
16747,YO15 2AE,54.083773,-0.192896
17133,YO13 9DJ,54.223251,-0.554447
17329,YO13 0DX,54.365639,-0.495472
17610,YO13 9AR,54.226816,-0.593716
17693,YO12 7RT,54.283047,-0.41888
18173,YO12 4SN,54.195346,-0.456934
18303,YO12 5ED,54.278866,-0.410671
18619,YO12 4PQ,54.161907,-0.468732
18662,YO11 3SH,54.234626,-0.38894
18987,YO11 1UB,54.277309,-0.409715
